name,description
Farine,Utilisée pour faire du pain et des pâtisseries.
Sucre,Utilisé pour sucrer les aliments et les boissons.
Sel,Utilisé pour assaisonner les aliments et renforcer leur saveur.
Beurre,Utilisé pour cuisiner et pour tartiner sur du pain.
Lait,Utilisé dans les recettes pour adoucir et lier les ingrédients.
Oeuf,Utilisé pour lier les ingrédients dans les recettes.
Fromage,Utilisé pour ajouter de la saveur et de la texture aux plats.
Poulet,Utilisé comme source de protéines dans les plats.
Boeuf,Utilisé comme source de protéines dans les plats.
Poisson,Utilisé comme source de protéines dans les plats.
